,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
0,"TRI-EX TOWER COMPANY, INC.",Corporation,04-Apr-2008,Platinum,Active,11-May-2020,11-May-2021,200804198241956251984
1,ELKANKONSTRAK DEVELOPMENT CORPORATION,Corporation,10-Dec-2004,Platinum,Active,11-May-2020,15-May-2021,20041258731343170143
2,MRP MERCHANDISING,Single Proprietorship,12-Jul-2007,Platinum,Active,07-May-2020,07-May-2021,200707150781083830655
3,MRL CYBERTEC CORPORATION,Corporation,16-Jul-2001,Platinum,Active,13-May-2020,28-May-2021,20010798916670144
4,S.M. CASTRO MANAGEMENT AND CONSTRUCTION SERVICES,Single Proprietorship,29-Oct-2003,Platinum,Active,07-May-2020,09-May-2021,2003101968667109130
5,"MAHINTANA FOUNDATION, INC.",Corporation,04-Jul-2017,Platinum,Active,13-May-2020,20-May-2021,2017071536451139321047
6,A & C GLOBAL & CORPORATE SALES INC.,Corporation,15-May-2017,Platinum,Active,13-May-2020,13-May-2021,201705162681378730071
7,PHIL-ASIA PLASTIC MFG. INC.,Corporation,26-Nov-2016,Platinum,Active,11-May-2020,11-May-2021,201611191758777133467
8,FOUR M ENTERPRISES,Single Proprietorship,20-Apr-2016,Platinum,Active,11-May-2020,22-May-2021,2016041689731002894737
9,A.R. FAHMY CONSTRUCTION AND SUPPLY,Single Proprietorship,29-Mar-2017,Platinum,Active,28-Jul-2020,28-Jul-2021,201703170431433699531
10,GARBIA STRUCTURAL AND GEOTECHNICAL SOLUTIONS,Single Proprietorship,22-Feb-2018,Platinum,Active,17-Jun-2020,17-Jun-2021,201802113468680469655
11,PEST AWAY CORPORATION,Corporation,27-Feb-2004,Platinum,Active,08-Jun-2020,08-Jun-2021,2004023174563904708
12,"POWER EQUIPMENT & SUPPLIES, INC.",Corporation,30-Sep-2008,Platinum,Active,11-May-2020,21-May-2021,20080922657618475713
13,PAUL'S AUTO SUPPLY AND GENERAL MERCHANDISE,Single Proprietorship,10-Aug-2012,Platinum,Active,13-Jul-2020,13-Jul-2021,201208573191833566310
14,ZYRRA KIM ENTERPRISES,Single Proprietorship,02-Feb-2011,Platinum,Active,07-May-2020,07-May-2021,20110238212555926809
15,SERVE DIAGNOSTICA INC.,Corporation,03-Jul-2015,Platinum,Active,07-May-2020,07-May-2021,2015071407661563776835
16,SAND AND SHOVEL CONSTRUCTION AND SUPPLY,Single Proprietorship,30-Mar-2016,Platinum,Active,11-May-2020,22-May-2021,2016031670871383810044
17,WALBROS INFRA-ENTERPRISES,Single Proprietorship,23-Jun-2010,Platinum,Active,07-May-2020,07-May-2021,201006342181133390090
18,ONE TOP MEDICAL SYSTEMS RESOURCES,Single Proprietorship,12-Aug-2010,Platinum,Active,11-May-2020,11-May-2021,201008124078582932110
19,JVT MOTORWORKS,Single Proprietorship,30-Jul-2015,Platinum,Active,01-Jun-2020,01-Jun-2021,2015071437921380273632
20,"FAIRBRIGHT ENTERPRISES, INC.",Corporation,20-Jul-2001,Platinum,Active,11-May-2020,11-May-2021,2001071012050795302
21,HANSHANMED MEDICAL EQUIPMENT AND SUPPLIES TRADING,Single Proprietorship,25-Nov-2019,Platinum,Active,11-May-2020,11-May-2021,2019118121939529022
22,DIGIMATRIX TOTAL WIDE FORMAT PRINTING SERVICES,Single Proprietorship,09-May-2011,Platinum,Active,11-May-2020,11-May-2021,20110540872519412304
23,ULTRAGREEN VENTURE STRUCTURES CORP.,Corporation,25-Jan-2013,Platinum,Active,09-Jun-2020,09-Jun-2021,20130164831222461199
24,SO CONSTRUCTION,Single Proprietorship,30-Jul-2004,Platinum,Active,11-May-2020,11-May-2021,2004074700794936270
25,NORTHERN LUZON TRANSPORT OPERATORS AND DRIVERS MULTIPURPOSECOOPERATIVE,Cooperative,30-Sep-2015,Platinum,Active,18-May-2020,18-May-2021,201509149849530614737
26,"RISM BUILDERS AND CONSTRUCTION SERVICES, INC.",Corporation,18-Aug-2015,Platinum,Active,11-May-2020,11-May-2021,2015081454442031856346
27,"ARB GENERAL ENGINEERING , REALTY SERVICES AND CONSULTANCY",Single Proprietorship,01-Feb-2016,Platinum,Active,11-May-2020,11-May-2021,2016021604071267697386
28,BEEMES PHARMACY,Single Proprietorship,05-Jan-2011,Platinum,Active,11-May-2020,11-May-2021,201101374901034738639
