,Project Name,Approved Budget,Start Date,End Date,Name Of Awarded Company,Amount Awarded,Date Of Award,Acceptance Date,Procuring Entity,Money Ratio,Category,,,
0,Supply and Delivery of Personal Protective Equipment (PPE) for the Procurement Service,3846000000,08/05/2020,07/06/2020,Pharmally Pharmaceutical Corporation,3820000000,06/05/2020,06/05/2020,PROCUREMENT SERVICE,0.99323973,Medical,,,
1,Supply and Delivery of Testing Kits for COVID 19 Response for the Department of Health (DOH),2877300000,09/06/2020,24/06/2020,Pharmally Pharmaceutical Corporation,2877300000,08/06/2020,08/06/2020,Procurement Service - DBM,1,Medical,,,
2,SUPPLY AND DELIVERY OF PERSONAL PROTECTIVE EQUIPMENT (PPE) FOR THE PROCUREMENT SERVICE,1923000000,08/05/2020,07/06/2020,"XUZHOU CONSTRUCTION MACHINERY GROUP IMP. AND EXP. CO., LTD.",1898000000,07/05/2020,07/05/2020,PROCUREMENT SERVICE,0.98699948,Medical,,,
3,Supply and Delivery of Personal Protective Equipment (PPE) for the Procurement Service,790000000,29/06/2020,13/08/2020,Ferjan Healthlink Philippines Inc.,727500000,19/06/2020,19/06/2020,PROCUREMENT SERVICE,0.920886076,Medical,,,
4,Supply and Delivery of Testing Kits for COVID 19 Response for the Department of Health (DOH),760000000,24/04/2020,31/07/2020,Pharmally Pharmaceutical Corporation,688000000,23/04/2020,23/04/2020,Procurement Service - DBM,0.905263158,Medical,,,
5,SUPPLY AND DELIVERY OF PERSONAL PROTECTIVE EQUIPMENT (PPE) FOR THE PROCUREMENT SERVICE,435000000,01/07/2020,29/09/2020,JV OF SUNWEST CONSTRUCTION AND DEVELOPMENT CORPORATION AND DKCAR TRADING,435000000,23/06/2020,23/06/2020,PROCUREMENT SERVICE,1,Medical,,,
6,Supply and Delivery of Testing Kits for COVID19 Response for DOH,420463600,16/06/2020,13/12/2020,"Medical Test Systems, Inc.",416567804,11/06/2020,11/06/2020,Procurement Service - DBM,0.990734523,Medical,,,"236, 311, 312 -> Medical to Others "
7,SUPPLY AND DELIVERY OF PERSONAL PROTECTIVE EQUIPMENT (PPE) FOR THE PROCUREMENT SERVICE,403880000,09/06/2020,09/07/2020,NIKKA TRADING,403880000,05/06/2020,05/06/2020,PROCUREMENT SERVICE,1,Medical,,,
8,SUPPLY AND DELIVERY OF PERSONAL PROTECTIVE EQUIPMENT (PPE) FOR THE PROCUREMENT SERVICE,398750000,09/06/2020,09/07/2020,HAFID N/ ERASMUS CORPORATION,398750000,05/06/2020,05/06/2020,PROCUREMENT SERVICE,1,Medical,,,
9,Procurement of Universal Transport Medium,475245000,01/06/2020,08/06/2020,Biosite Medical Instruments,354420000,20/05/2020,20/05/2020,Department of Health,0.745762712,Medical,,,
10,Supply and Delivery of Personal Protective Equipment (PPE) for PS,343392000,12/05/2020,22/05/2020,"Shanghai Puheng Medical Equipment Co., Ltd.",343392000,11/05/2020,11/05/2020,PROCUREMENT SERVICE,1,Medical,,,
11,Supply and Delivery of Testing Kits for COVID19 Response for DOH,327600000,17/06/2020,08/07/2020,Element Trade Limited,327600000,10/06/2020,11/06/2020,Procurement Service - DBM,1,Medical,,,
12,Supply and Delivery of N95 for the Procurement Service,285000000,30/06/2020,15/12/2020,JV of Sunwest Construction and Development Corporation and DKCAR Trading,285000000,24/06/2020,24/06/2020,PROCUREMENT SERVICE,1,Medical,,,
13,SUPPLY AND DELIVERY OF PERSONAL PROTECTIVE EQUIPMENT (PPE) FOR THE SUPPORT FRONTLINE WORKERS,284475000,05/06/2020,08/06/2020,Philippine Blue Cross Biotech Corporation,284375000,04/06/2020,04/06/2020,PROCUREMENT SERVICE,0.999648475,Medical,,,
14,"211,053 sacks Rice, Commercial Rice, Good Quality (25 kilos/sack)",263816250,29/05/2020,30/05/2020,5MJ Marketing,263816250,20/05/2020,30/05/2020,Local Government Unit-City of Zamboanga,1,Food,,,
15,Supply and Delivery of Testing Kits for COVID 19 Response for the Department of Health (DOH),245846016,11/06/2020,26/06/2020,Pharmally Pharmaceutical Corporation,245846016,10/06/2020,10/06/2020,Procurement Service - DBM,1,Medical,,,
16,SUPPLY AND DELIVERY OF MECHANICAL VENTILATOR FOR THE DEPARTMENT OF HEALTH,227500000,26/06/2020,02/01/2021,"RESPICARE ENTERPRISES, INC.",225000000,19/06/2020,19/06/2020,PROCUREMENT SERVICE,0.989010989,Medical,,,
17,Procurement of Various Medical Supplies for Item Nos. 2 & 3,506470000,15/04/2020,15/05/2020,"S&S Enterprises, Inc.",220030000,13/03/2020,23/03/2020,Department of Health,0.434438368,Medical,,,
18,Supply and Delivery of Surgical Masks for the Procurement Service,225000000,20/04/2020,20/04/2020,Pharmally Pharmaceutical Corporation,220000000,20/04/2020,20/04/2020,PROCUREMENT SERVICE,0.977777778,Medical,,,
19,SUPPLY AND DELIVERY OF PERSONAL PROTECTIVE EQUIPMENT (PPE) FOR THE PROCUREMENT SERVICE,237000000,30/06/2020,14/08/2020,"BOWMAN TECHNOLOGIES, INC. (FORMERLY HULS TECHNOLOGIES PHILIPPINES, INC.)",218250000,22/06/2020,22/06/2020,PROCUREMENT SERVICE,0.920886076,Medical,,,
20,Supply and Delivery of Containerized RT-PCR Testing Laboratory,207424000,14/05/2020,29/05/2020,"Global Medical Technologies Manila, Inc.",207424000,13/05/2020,28/05/2020,City Government of Taguig,1,Medical,,,
21,"12,320 cases Beef Loaf, 150grams (50pcs/case), 12,834 cases Corned Beef, 150grams (48pcs/case), etc.",199999870,24/04/2020,26/06/2020,5MJ Marketing,199999870,21/04/2020,26/06/2020,Local Government Unit-City of Zamboanga,1,Food,,,
22,"SUPPLY AND DELIVERY OF 40,185 BAGS HYBRID RICE SEEDS (LOT 1-NSIC Rc132H AND LOT 2-NSIC Rc540H) FOR RICE RESILIENCY PROGRAM FOR CY 2020",180832500,05/05/2020,31/05/2020,SL AGRITECH CORPORATION,180832500,04/05/2020,04/05/2020,DEPARTMENT OF AGRICULTURE REGIONAL OFFICE III,1,Food,,,
23,Supply and Delivery of COVID-19 Rapid Antibody Test Kit,170000000,30/04/2020,07/05/2020,"Clearbridge Medical Philippines, Inc.",170000000,28/04/2020,28/04/2020,Office of Civil Defense,1,Medical,,,
24,"SUPPLY AND DELIVERY OF 93,871 BAGS RICE CERTIFIED SEEDS FOR RICE RESILIENCY FOR CY2020",142683920,08/05/2020,31/05/2020,NUEVA ECIJA SEED GROWERS MULTI-PURPOSE COOPERATIVE,142683920,04/05/2020,04/05/2020,DEPARTMENT OF AGRICULTURE REGIONAL OFFICE III,1,Food,,,
25,"SUPPLY AND DELIVERY OF 30,000 BAGS HYBRID RICE SEEDS (LOT 3-NSIC Rc546H, LOT 4-NSIC Rc176H, LOT 5-NSIC Rc234H) FOR RICE RESILIENCY FOR CY 2020",135000000,12/05/2020,31/05/2020,ST. JOSEPH AGRIMARKETING CORP.,135000000,04/05/2020,04/05/2020,DEPARTMENT OF AGRICULTURE REGIONAL OFFICE III,1,Food,,,
26,Supply and Delivery of Testing Kits for COVID 19 Response for the Department of Health (DOH),134946000,16/06/2020,22/09/2020,"Zafire Distributors, Inc.",134946000,11/06/2020,12/06/2020,Procurement Service - DBM,1,Medical,,,
27,Supply and Delivery of Relief Goods,128837800,28/04/2020,08/05/2020,BV Three Two Four Printing and Trading,128837800,28/04/2020,08/05/2020,City Government of Taguig,1,Food,,,
28,"100,000 sacks Rice Goods, Well Milled Rice (50kgs/sack)",354320000,25/03/2020,01/04/2020,SHADING TRADING,123500000,25/03/2020,25/03/2020,Cebu City Government,0.348554979,Food,,,
29,"SUPPY AND DELIVERY OF 25,000 BAGS HYBRID RICE SEEDS (LOT 7-NSIC Rc456H and LOT 8-NSIC Rc404h) FOR RICE RESILIENCY PROGRAM FOR CY 2020",112500000,05/05/2020,31/05/2020,LONGPING TROPICAL RICE DEVELOPMENT INC.,112500000,04/05/2020,04/05/2020,DEPARTMENT OF AGRICULTURE REGIONAL OFFICE III,1,Food,,,
30,Supply and Delivery of Relief Goods,110905800,06/05/2020,16/05/2020,BV Three Two Four Printing and Trading,110905800,05/05/2020,15/05/2020,City Government of Taguig,1,Food,,,
31,Supply and Delivery of Relief Goods,109832400,15/04/2020,25/04/2020,BV Three Two Four Printing and Trading,109832400,14/04/2020,23/04/2020,City Government of Taguig,1,Food,,,
32,Supply and Delivery of Relief Goods,105086250,21/05/2020,01/06/2020,1012 Trading & General Merchandise,105086250,20/05/2020,29/05/2020,City Government of Taguig,1,Food,,,
33,Procurement of Food Assistance & Other Relief Goods for the Affected Households,5696600,29/05/2020,05/06/2020,Reign Farm,99586520,29/05/2020,05/06/2020,Municipality of RONDA,17.48174701,Food,,,
34,SUPPLY AND DELIVERY OF PERSONAL PROTECTIVE EQUIPMENT (PPE) FOR THE PROCUREMENT SERVICE,99010000,23/04/2020,27/04/2020,NIKKA TRADING,99010000,23/04/2020,23/04/2020,PROCUREMENT SERVICE,1,Medical,,,
35,Procurement of Supply and Delivery of Various NSIC Approved Hybrid Rice Seeds @ 18 kgs/bag,95950000,27/05/2020,26/06/2020,Model Agro Sales,95950000,20/05/2020,26/05/2020,Department of Agriculture Western Visayas,1,Food,,,
