Name Of Awarded Company,Amount Awarded (in hundred thousands),Average Date Difference
ABC Company,1e-05,1.0
Junnel's Dry Goods Store,0.0005,13.0
CILVAN'S DRESSED CHICKEN AND CHICKEN PRODUCTS,0.001,16.0
CHARLE'S BURGER,0.00108,16.0
NATHANIER CORPORATION,0.00131,16.0
"RUFINO BRODETH AND CO.,INCORPORATED",0.00147,16.0
FE'S STORE,0.00156,16.0
JUNJEN STORE,0.00168,16.0
NEW BARATILLO TINSMITH,0.002,12.0
HVF CYCLE PARTS CENTER,0.0023,16.0
GOLDEN JMK TRADING,0.0023,15.0
RYAN STEVE PASAHOL,0.0025,10.0
G2R Photo & Video,0.0027,13.0
R AND B COCO LUMBER,0.00278,15.0
JYSMI HARDWARE,0.0028625,17.0
"Wilcon Depot, INc.",0.002975,4.0
GABRIEL'S TRADING,0.003,12.0
3 Brothers Paint Center & General Merchandise,0.0036,7.0
D-CYCLEMART HARDWARE,0.0038,4.0
FOUR H GRAINS MERCHANDISE,0.00388,16.0
NIERHE MOTORCYCLE PARTS AND MECHANDISE,0.004,17.0
EDIC'S ELECTRONICS PARTS AND SUPPLY,0.004,15.0
M. Miranda General Merchandise,0.00441,7.0
JAKE MERCHANDISE,0.00448,15.0
RAM'S ELECTRONICS PARTS AND ELECTRICAL SUPPLY,0.00495,15.0
"LERNEL AUTO SUPPLY, FURNITURE & GENERAL MDSE.",0.005,10.0
CHRISTOPHER AGATEP GASOLINE STATION,0.005,10.0
H'3 Store,0.0055,7.0
D&G PHARMACY,0.0056,3.0
Gevera Modiste Mart,0.006,7.0
LUCKY PRECIUM TRADING,0.00632,14.0
BUTUAN CHAMPION HARDWARE,0.0064,4.0
BON-BON BAZAR,0.0069,2.0
Watsons Calamba,0.00716,7.0
JYSMI SCHOOL SUPPLY,0.00723,16.0
SHERWOOD EDUCATIONAL SUPPLY,0.0075,16.0
JP MARKETING AND AUTO SUPPLY,0.0078,17.0
J AND F DEPARTMENT STORE,0.00799,14.0
CALI'S ROAST AND GRILL HOUSE,0.008,16.0
R.A HARDWARE,0.00819,19.0
YAJ Auto Suppllies,0.009,8.0
LONGHAIR VEGETABLE VENDOR,0.009,15.0
DODONG LIOK HARDWARE INC.,0.009,19.5
FILLIN GASOLINE STATION,0.0090007,10.0
"GLOWING DRUGSTORE, MEDICAL & LABORATORY SUPPLIES",0.0092,5.0
"ILIGAN SMA TRADERS, INC.",0.0096,30.0
WINALYN GENERAL MERCHANDISE,0.01,1.0
"New Quality Hardware Co., Inc.",0.01,1.0
FARMACIA FREEMAN,0.010203,3.0
DL COMEDIDO BAKESHOP,0.01036,16.0
Nenita Dizon,0.0104,1.0
GLENDA'S EGG & RICE STORE,0.01045,1.0
SONRIO'S COPY CENTER,0.0117,31.0
BRICOLAGE PHILIPPINES INC.,0.0118,5.0
ARIEL A. LUZON GENERAL MERCHNADISE,0.0118,15.0
MAY ABOHAN FOOD CORPORATION,0.01185,16.0
CARLOS SUPERDRUG,0.012,1.0
"SMS AND SONS DYNAMIC VENTURES, INC.",0.0125,5.0
IGM ENTERPRISES,0.013,3.0
Narciso E. Dela Cerna,0.0135,7.0
G.E Inalvez Trading (Palay Buying),0.013832,2.0
VANEX ADVERTISING,0.0144,13.0
D & J PHARMACY,0.0146,2.0
Bohol Qualtiy Corporation,0.014944200000000001,7.0
GOROSPE GAS STATION,0.01635,5.0
Kaye MAe Von Enterprise,0.0165,1.0
