Name Of Awarded Company,Amount Awarded
Pharmally Pharmaceutical Corporation,3820000000.0
Pharmally Pharmaceutical Corporation,2877300000.0
"XUZHOU CONSTRUCTION MACHINERY GROUP IMP. AND EXP. CO., LTD.",1898000000.0
Ferjan Healthlink Philippines Inc.,727500000.0
Pharmally Pharmaceutical Corporation,688000000.0
JV OF SUNWEST CONSTRUCTION AND DEVELOPMENT CORPORATION AND DKCAR TRADING,435000000.0
"Medical Test Systems, Inc.",416567804.0
NIKKA TRADING,403880000.0
HAFID N/ ERASMUS CORPORATION,398750000.0
Biosite Medical Instruments,354420000.0
"Shanghai Puheng Medical Equipment Co., Ltd.",343392000.0
Element Trade Limited,327600000.0
JV of Sunwest Construction and Development Corporation and DKCAR Trading,285000000.0
Philippine Blue Cross Biotech Corporation,284375000.0
5MJ Marketing,263816250.0
Pharmally Pharmaceutical Corporation,245846016.0
"RESPICARE ENTERPRISES, INC.",225000000.0
"S&S Enterprises, Inc.",220030000.0
Pharmally Pharmaceutical Corporation,220000000.0
"BOWMAN TECHNOLOGIES, INC. (FORMERLY HULS TECHNOLOGIES PHILIPPINES, INC.)",218250000.0
"Global Medical Technologies Manila, Inc.",207424000.0
5MJ Marketing,199999870.0
SL AGRITECH CORPORATION,180832500.0
"Clearbridge Medical Philippines, Inc.",170000000.0
NUEVA ECIJA SEED GROWERS MULTI-PURPOSE COOPERATIVE,142683920.0
ST. JOSEPH AGRIMARKETING CORP.,135000000.0
"Zafire Distributors, Inc.",134946000.0
BV Three Two Four Printing and Trading,128837800.0
SHADING TRADING,123500000.0
LONGPING TROPICAL RICE DEVELOPMENT INC.,112500000.0
BV Three Two Four Printing and Trading,110905800.0
BV Three Two Four Printing and Trading,109832400.0
1012 Trading & General Merchandise,105086250.0
Reign Farm,99586520.0
NIKKA TRADING,99010000.0
Model Agro Sales,95950000.0
LUCKY R'S PHARMACY & GENERAL MERCHANDISE,92278075.0
Luxese Corp.,90456786.0
"SEEDWORKS PHILIPPINES, INC.",90370000.0
SL AGRITECH CORP.,90370000.0
Spectrum Scientific Corporation,90000000.0
Puregold Price Club Inc,85665817.1
EDWIN AYCO BIGASAN,85100000.0
Cosmo Medical Inc.,85000000.0
Dextel Trading,84892500.0
SL Agritech Corporation,84625000.0
Biosite Medical Instruments,84480000.0
QM Builders,83997999.9
PS-DBM,82784000.0
F.V. DYSICO RICEMILL & TRADING,80411250.0
Nationstar Development Corporation,79984975.83
Nationstar Development Corporation,79984975.83
"Health Line Medical Distributions, Inc.",76462992.73
