Name Of Awarded Company,Amount Awarded
Pharmally Pharmaceutical Corporation,7851146016.0
"XUZHOU CONSTRUCTION MACHINERY GROUP IMP. AND EXP. CO., LTD.",1898000000.0
Ferjan Healthlink Philippines Inc.,727500000.0
BV Three Two Four Printing and Trading,627619068.0
Biosite Medical Instruments,592160200.0
5MJ Marketing,512897120.0
NIKKA TRADING,502959312.0
"Medical Test Systems, Inc.",477386370.0
JV OF SUNWEST CONSTRUCTION AND DEVELOPMENT CORPORATION AND DKCAR TRADING,440672160.0
Philippine Blue Cross Biotech Corporation,432172825.0
HAFID N/ ERASMUS CORPORATION,398750000.0
"Shanghai Puheng Medical Equipment Co., Ltd.",343392000.0
Element Trade Limited,327600000.0
JV of Sunwest Construction and Development Corporation and DKCAR Trading,285000000.0
"RESPICARE ENTERPRISES, INC.",279483300.0
SL Agritech Corporation,251880000.0
"S&S Enterprises, Inc.",220030000.0
"BOWMAN TECHNOLOGIES, INC. (FORMERLY HULS TECHNOLOGIES PHILIPPINES, INC.)",218250000.0
"Global Medical Technologies Manila, Inc.",207424000.0
SL AGRITECH CORPORATION,203306932.4
"Centro Supersales, Inc.",187819888.0
"Clearbridge Medical Philippines, Inc.",170000000.0
Jedeco Trading Corp.,167437425.0
Nationstar Development Corporation,159969951.66
EDWIN AYCO BIGASAN,156400000.0
LUCKY ANYA TRADING,144000000.0
"Zafire Distributors, Inc.",143658888.0
NUEVA ECIJA SEED GROWERS MULTI-PURPOSE COOPERATIVE,142683920.0
Luxese Corp.,140456786.0
ST. JOSEPH AGRIMARKETING CORP.,135000000.0
Goodties Inc.,127900000.0
SHADING TRADING,123500000.0
F.V. DYSICO RICEMILL & TRADING,120311250.0
Diamondsphere Incorporated,115844250.0
LONGPING TROPICAL RICE DEVELOPMENT INC.,112500000.0
"Lifeline Diagnostic Supplies, Inc.",111879696.0
Quirante Construction,107996000.0
1012 Trading & General Merchandise,105086250.0
National Food Authority,105062250.0
Reign Farm,101042566.06
"SEEDWORKS PHILIPPINES, INC.",101000000.0
Jaydee Care Marketing,100513858.48
"Health Line Medical Distributions, Inc.",98202171.50999999
QM Builders,96995999.9
Model Agro Sales,95950000.0
PS-DBM,95745360.04
Dextel Trading,92717300.0
LUCKY R'S PHARMACY & GENERAL MERCHANDISE,92278075.0
BIOSITE MEDICAL INSTRUMENTS,92083550.0
SL AGRITECH CORP.,90370000.0
Spectrum Scientific Corporation,90000000.0
Puregold Price Club Inc,85667582.1
Cosmo Medical Inc.,85000000.0
"Asya Medika, Inc.",82800000.0
Almeria International Construction Corporation,79938961.72
AJ General Merchandise,78843833.0
"Sunfu Solutions, Inc.",78301758.0
Mariqueta G. Navarro,74952000.0
Pacificphil Distribution Group Inc.,74000000.0
AL-NOR PRIME PROPERTIES CORPORATION,73500000.0
BIO MEDPRO PHARMACEUTICALS,72500000.0
TWIS TRADING,71752500.0
"LONGPING TROPICAL RICE DEVELOPMENT, INC.",70225000.0
Archinet International Inc.,69696097.25
Goodluck Rice Mill,69180000.0
STA. ANA ENTERPRISES,67885420.0
VKO MARKETING,64927250.0
"Rebmann, Inc.",64790000.0
COSMO MEDICAL INC.,64160000.0
E.Llana Marketing & Industrial Enterprises,63051750.0
Binhi Producers Cooperative,62253877.5
"Seedworks Philippines, Inc.",62043800.0
"MEDICOTEK, INC.",60482000.0
MAR-TONI GENERAL MERCHANDISE,59783576.0
GOYARD TRADING,57200000.0
Medical Center Trading Corporation,56392022.0
AMI Equipment Services and Solutions,56160000.0
Jorda Trading,55505100.0
IJK MAE CONTRUCTION INC,54800000.0
NATIONAL FOOD AUTHORITY,54791250.0
"Xplore Philippines, Inc.",54000000.0
PHARMALLY PHARMACEUTICAL CORPORATION,54000000.0
PACIFIC FIELD (HONGKONG) LTD.,53200000.0
HAFID N' ERASMUS CORPORATION,51000000.0
TAN TAY LIM BUILDERS AND GENERAL CONTRUCTOR,49310368.01
BERMEJO AGRI BUY & SELL,49000000.0
EVL DUQUE MARKETING,49000000.0
"AL-NOR PRIME PROPERTIES, INC.",49000000.0
R. Evangelista Ricemill,48996790.0
"A.L. Salazar Construction, Inc.",48450131.34
Robustan Inc.,48292000.0
lucky Anya trading,48000000.0
RAD'S ENTERPRISES,47995000.0
Ideal Unomed Care Corp.,47424868.41
AMI Equipment Service,46500000.0
Klick Lucky Marketing,45050800.25
"SEEDWORKS PHILS., INC.",45000000.0
Smartbiz Trading and General Merchandise,44815500.0
Ritech Marketing,44051306.0
"CENTRAL AFFIRMATIVE CO., INC.",44000000.0
Global Pharma Enterprise,43169452.3
"SAIDDI AGRI FARM AND TRADING, INC.",42730000.0
TUPEI ALL STAR TRADE INC.,42425000.0
P.B. Obial Construction,41998763.84
Yveng Pharmacy,41995702.0
RSG Mktg Corp,41841550.0
"MEDICAL & HOSPITAL RESOURCES HEALTH CARE, INC.",40000000.0
"GranSol Trading Company, Inc.",39622750.0
"UNIMASTERS CONGLOMERATION, INC.",39500000.0
NANSMAR MARKETING BUY 7 SELL AGRI PRODUCTS,39200000.0
Drei Enterprises,39090800.0
Homero's Rice Store,39016540.0
ALTURAS SUPERMARKET CORP.,38868271.92
Progressive Grains Milling Corporation,38575000.0
JV of Sunwest Construction and Development Corporation and DCKAR Trading,38328480.0
"Right Agri Development, Corp.",38032392.0
"WAMRUS TRADING, INC.",37960000.0
Dynasty Pharmaceuticals,37701600.0
JEDECO TRADING CORPORATION,37677050.0
"Phil Pharmawealth, Inc.",37500000.0
Aljeron Medical Enterprises,37146720.0
ESPJR Trading,37033580.0
KRESA NIRIIS TRADING,36829889.0
GOLDENYANA ENTERPRISES,36750000.0
AGRICONS IMPEX CO,36750000.0
Lantau Industrial Supply and Services Corporation,35824676.0
Gold Medlines Drug Distribution,35344600.15
TWIS Trading,35112500.0
Mel-C Trading,34803959.0
MC JEB TRADING,34411455.0
Dio Implant Phils. Corp.,34374040.0
NANSMAR MARKETING BUY & SELL AGRI PRODUCTS,34300000.0
"IDS Medical Systems Philippines, Inc.",34235740.17
XARITO TRADING INC.,34118200.0
Abeth and Lulu Rice Store,33000000.0
MSIA GENERAL MERCHANDISE,33000000.0
PRIME MEDIX INTL.,33000000.0
Bosh Megatrade and Services Corporation / Donna R. Masiglat,33000000.0
Jay-R and Marie Rice Store,33000000.0
Zuellig Pharma Corp.,32193290.0
Himex Corporation,31366250.0
HLYC Trading,31316383.65
"V Integrated Energy Systems and Resources, Inc & Unimasters Conglomeration, Inc",30888000.0
Kulit's Drugstore,30572157.5
Rite-Tech Marketing,30535500.0
Reliance Producers Cooperative,30167600.0
MEDICOTEK INC,30160000.0
MANQUE PROSPERE GENERAL MERCHANDISE,29993750.0
Crossix Inc.,29795664.0
Lakshmi Zane Enterprises,29771160.0
