Procuring Entity name,Edited Start Date,Amount Awarded
PROCUREMENT SERVICE,2020-05-08,3820000000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-09,2877300000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-08,1898000000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-29,727500000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-24,688000000.0
Department of Labor and Employment Regional Office No. VIII,2020-07-01,435000000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-16,416567804.0
Department of Labor and Employment Regional Office No. VIII,2020-06-09,403880000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-09,398750000.0
Department of Health,2020-06-01,354420000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-12,343392000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-17,327600000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-30,285000000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-05,284375000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-29,263816250.0
Department of Labor and Employment Regional Office No. VIII,2020-06-11,245846016.0
Department of Labor and Employment Regional Office No. VIII,2020-06-26,225000000.0
Department of Health,2020-04-15,220030000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-20,220000000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-30,218250000.0
City Government of Taguig,2020-05-14,207424000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-24,199999870.0
DEPARTMENT OF AGRICULTURE REGIONAL OFFICE III,2020-05-05,180832500.0
Office of Civil Defense,2020-04-30,170000000.0
DEPARTMENT OF AGRICULTURE REGIONAL OFFICE III,2020-05-08,142683920.0
DEPARTMENT OF AGRICULTURE REGIONAL OFFICE III,2020-05-12,135000000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-16,134946000.0
City Government of Taguig,2020-04-28,128837800.0
Cebu City Government,2020-03-25,123500000.0
DEPARTMENT OF AGRICULTURE REGIONAL OFFICE III,2020-05-05,112500000.0
City Government of Taguig,2020-05-06,110905800.0
City Government of Taguig,2020-04-15,109832400.0
City Government of Taguig,2020-05-21,105086250.0
Department of Labor and Employment Regional Office No. VIII,2020-05-29,99586520.0
Department of Labor and Employment Regional Office No. VIII,2020-04-23,99010000.0
Department of Agriculture Western Visayas,2020-05-27,95950000.0
Provincial Government of Bulacan,2020-05-22,92278075.0
City Government of Taguig,2020-04-21,90456786.0
Department of Agriculture Western Visayas,2020-05-22,90370000.0
Department of Agriculture Western Visayas,2020-06-25,90370000.0
Bureau of Quarantine,2020-05-08,90000000.0
City Government of Taguig,2020-04-30,85665817.1
CITY GOVERNMENT OF PUERTO PRINCESA,2020-04-21,85100000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-08,85000000.0
