Name Of Awarded Company,Amount Awarded (in hundred thousands),Company Age
FERJAN HEALTHLINK PHILIPPINES INC.,7275.0,0.07945205479452055
NIKKA TRADING,4038.8,17.747945205479454
NIKKA TRADING,990.1,17.747945205479454
NIKKA TRADING,0.69312,17.747945205479454
BIOSITE MEDICAL INSTRUMENTS,3544.2,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,844.8,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,612.18,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,459.81,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,162.0,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,151.0,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,151.0,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,151.0,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,151.0,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,150.0,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,75.0,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,75.0,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,51.98,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,32.5,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,24.48,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,18.52,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,18.52,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,18.52,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,18.52,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,18.52,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,18.52,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,17.225,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,12.3,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,11.82,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,10.0,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,7.5,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,5.85,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,5.5,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,4.8,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,4.45,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,4.05,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,3.95,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,3.75,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,3.1975,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,3.04,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,2.6,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,2.5,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,2.38,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,2.335,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,2.0,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,1.95,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,1.75,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,1.335,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,1.2905,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,1.0948,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,0.95,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,0.78,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,0.75,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,0.4425,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,0.42,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,0.3672,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,0.34,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,0.33,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,0.33,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,0.12,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,0.09,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,0.06,11.767123287671232
BIOSITE MEDICAL INSTRUMENTS,0.03,11.767123287671232
PHILIPPINE BLUE CROSS BIOTECH CORPORATION,2843.75,17.33150684931507
PHILIPPINE BLUE CROSS BIOTECH CORPORATION,487.0,17.33150684931507
PHILIPPINE BLUE CROSS BIOTECH CORPORATION,480.0,17.33150684931507
PHILIPPINE BLUE CROSS BIOTECH CORPORATION,450.0,17.33150684931507
PHILIPPINE BLUE CROSS BIOTECH CORPORATION,55.0,17.33150684931507
PHILIPPINE BLUE CROSS BIOTECH CORPORATION,5.15,17.33150684931507
PHILIPPINE BLUE CROSS BIOTECH CORPORATION,0.82825,17.33150684931507
SL AGRITECH CORPORATION,1808.325,13.021917808219179
SL AGRITECH CORPORATION,846.25,13.021917808219179
SL AGRITECH CORPORATION,500.0,13.021917808219179
SL AGRITECH CORPORATION,434.0,13.021917808219179
SL AGRITECH CORPORATION,350.0,13.021917808219179
SL AGRITECH CORPORATION,168.95,13.021917808219179
SL AGRITECH CORPORATION,106.25,13.021917808219179
SL AGRITECH CORPORATION,75.0,13.021917808219179
SL AGRITECH CORPORATION,75.0,13.021917808219179
SL AGRITECH CORPORATION,69.6,13.021917808219179
SL AGRITECH CORPORATION,67.59932400000001,13.021917808219179
SL AGRITECH CORPORATION,50.895,13.021917808219179
ST. JOSEPH AGRIMARKETING CORP.,1350.0,9.873972602739727
"ZAFIRE DISTRIBUTORS, INC.",1349.46,13.024657534246575
"ZAFIRE DISTRIBUTORS, INC.",106.2,13.024657534246575
"ZAFIRE DISTRIBUTORS, INC.",98.39815,13.024657534246575
"ZAFIRE DISTRIBUTORS, INC.",44.25,13.024657534246575
"ZAFIRE DISTRIBUTORS, INC.",30.0,13.024657534246575
"ZAFIRE DISTRIBUTORS, INC.",30.0,13.024657534246575
"ZAFIRE DISTRIBUTORS, INC.",21.24,13.024657534246575
"ZAFIRE DISTRIBUTORS, INC.",13.8,13.024657534246575
"ZAFIRE DISTRIBUTORS, INC.",9.26,13.024657534246575
"ZAFIRE DISTRIBUTORS, INC.",5.88888,13.024657534246575
"ZAFIRE DISTRIBUTORS, INC.",2.215,13.024657534246575
BV THREE TWO FOUR PRINTING AND TRADING,1288.378,3.2164383561643834
BV THREE TWO FOUR PRINTING AND TRADING,1109.058,3.2164383561643834
BV THREE TWO FOUR PRINTING AND TRADING,1098.324,3.2164383561643834
BV THREE TWO FOUR PRINTING AND TRADING,750.0,3.2164383561643834
BV THREE TWO FOUR PRINTING AND TRADING,500.0,3.2164383561643834
BV THREE TWO FOUR PRINTING AND TRADING,420.345,3.2164383561643834
BV THREE TWO FOUR PRINTING AND TRADING,284.064,3.2164383561643834
BV THREE TWO FOUR PRINTING AND TRADING,212.5,3.2164383561643834
BV THREE TWO FOUR PRINTING AND TRADING,200.0,3.2164383561643834
BV THREE TWO FOUR PRINTING AND TRADING,193.54993,3.2164383561643834
BV THREE TWO FOUR PRINTING AND TRADING,123.72175,3.2164383561643834
BV THREE TWO FOUR PRINTING AND TRADING,96.25,3.2164383561643834
1012 TRADING & GENERAL MERCHANDISE,1050.8625,7.432876712328767
LUCKY R'S PHARMACY & GENERAL MERCHANDISE,922.78075,11.016438356164384
LUXESE CORP.,904.56786,4.024657534246575
LUXESE CORP.,500.0,4.024657534246575
"SEEDWORKS PHILIPPINES, INC.",903.7,5.019178082191781
"SEEDWORKS PHILIPPINES, INC.",268.52,5.019178082191781
"SEEDWORKS PHILIPPINES, INC.",155.918,5.019178082191781
"SEEDWORKS PHILIPPINES, INC.",106.3,5.019178082191781
"SEEDWORKS PHILIPPINES, INC.",98.0,5.019178082191781
"SEEDWORKS PHILIPPINES, INC.",63.896,5.019178082191781
"SEEDWORKS PHILIPPINES, INC.",34.104,5.019178082191781
SPECTRUM SCIENTIFIC CORPORATION,900.0,17.534246575342465
QM BUILDERS,839.979999,11.882191780821918
QM BUILDERS,129.98,11.882191780821918
BIO MEDPRO PHARMACEUTICALS,725.0,3.3808219178082193
"LONGPING TROPICAL RICE DEVELOPMENT, INC.",702.25,2.232876712328767
DIAMONDSPHERE INCORPORATED,656.8025,3.9452054794520546
DIAMONDSPHERE INCORPORATED,501.64,3.9452054794520546
BINHI PRODUCERS COOPERATIVE,622.538775,8.758904109589041
BINHI PRODUCERS COOPERATIVE,14.4014399,8.758904109589041
BINHI PRODUCERS COOPERATIVE,4.7023375,8.758904109589041
HAFID N' ERASMUS CORPORATION,510.0,0.038356164383561646
HAFID N' ERASMUS CORPORATION,271.7,0.038356164383561646
HAFID N' ERASMUS CORPORATION,0.91215,0.038356164383561646
GOODTIES INC.,500.0,3.852054794520548
GOODTIES INC.,400.0,3.852054794520548
GOODTIES INC.,379.0,3.852054794520548
MEDICAL CENTER TRADING CORPORATION,499.2,18.41917808219178
MEDICAL CENTER TRADING CORPORATION,13.5,18.41917808219178
MEDICAL CENTER TRADING CORPORATION,10.465,18.41917808219178
MEDICAL CENTER TRADING CORPORATION,10.465,18.41917808219178
MEDICAL CENTER TRADING CORPORATION,6.675,18.41917808219178
MEDICAL CENTER TRADING CORPORATION,6.0,18.41917808219178
MEDICAL CENTER TRADING CORPORATION,2.545,18.41917808219178
MEDICAL CENTER TRADING CORPORATION,2.53304,18.41917808219178
MEDICAL CENTER TRADING CORPORATION,2.1945,18.41917808219178
MEDICAL CENTER TRADING CORPORATION,2.08,18.41917808219178
MEDICAL CENTER TRADING CORPORATION,2.08,18.41917808219178
MEDICAL CENTER TRADING CORPORATION,1.4828,18.41917808219178
MEDICAL CENTER TRADING CORPORATION,1.2157,18.41917808219178
MEDICAL CENTER TRADING CORPORATION,1.05418,18.41917808219178
MEDICAL CENTER TRADING CORPORATION,0.91,18.41917808219178
MEDICAL CENTER TRADING CORPORATION,0.84,18.41917808219178
MEDICAL CENTER TRADING CORPORATION,0.68,18.41917808219178
MEDICAL CENTER TRADING CORPORATION,0.375,18.41917808219178
AL-NOR PRIME PROPERTIES CORPORATION,490.0,3.6684931506849314
AL-NOR PRIME PROPERTIES CORPORATION,245.0,3.6684931506849314
LUCKY ANYA TRADING,480.0,5.534246575342466
LUCKY ANYA TRADING,480.0,5.534246575342466
LUCKY ANYA TRADING,480.0,5.534246575342466
LUCKY ANYA TRADING,480.0,5.534246575342466
RAD'S ENTERPRISES,479.95,5.005479452054795
JEDECO TRADING CORP.,426.66465,12.402739726027397
JEDECO TRADING CORP.,426.66465,12.402739726027397
JEDECO TRADING CORP.,183.77646,12.402739726027397
JEDECO TRADING CORP.,157.71845,12.402739726027397
JEDECO TRADING CORP.,104.42911,12.402739726027397
JEDECO TRADING CORP.,88.13237,12.402739726027397
JEDECO TRADING CORP.,87.53249,12.402739726027397
JEDECO TRADING CORP.,69.63607,12.402739726027397
JEDECO TRADING CORP.,49.95,12.402739726027397
JEDECO TRADING CORP.,49.95,12.402739726027397
JEDECO TRADING CORP.,29.92,12.402739726027397
P.B. OBIAL CONSTRUCTION,419.98763840000004,14.389041095890411
"MEDICAL & HOSPITAL RESOURCES HEALTH CARE, INC.",400.0,1.4328767123287671
"PHIL PHARMAWEALTH, INC.",374.4,17.805479452054794
"PHIL PHARMAWEALTH, INC.",18.11118,17.805479452054794
"PHIL PHARMAWEALTH, INC.",14.75,17.805479452054794
"PHIL PHARMAWEALTH, INC.",4.10825,17.805479452054794
"PHIL PHARMAWEALTH, INC.",3.8,17.805479452054794
"PHIL PHARMAWEALTH, INC.",0.8,17.805479452054794
"PHIL PHARMAWEALTH, INC.",0.6,17.805479452054794
"PHIL PHARMAWEALTH, INC.",0.5850816,17.805479452054794
TWIS TRADING,366.4,8.706849315068494
TWIS TRADING,351.125,8.706849315068494
TWIS TRADING,351.125,8.706849315068494
TWIS TRADING,1.153175,8.706849315068494
