,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
0,JQD ENTERPRISES,Single Proprietorship,26-Oct-2011,Platinum,Active,27-Feb-2020,27-Feb-2021,20111045045908322173
1,TIMSTATE FOOD AND BEVERAGE CORPORATION,Corporation,24-Jan-2014,Platinum,Active,09-Mar-2020,09-Mar-2021,201401919121903122321
2,NEIL'S MERCHANDISING CENTER,Single Proprietorship,11-Aug-2008,Platinum,Active,27-Feb-2020,27-Feb-2021,20080821937479112888
3,ROYAL SUMMIT INFINITY DEVELOPMENT CORPORATION,Corporation,14-Feb-2014,Platinum,Active,09-Mar-2020,23-Mar-2021,201402939481993428510
4,"TOP GUN SPORTING GOODS, INC.",Corporation,13-Jun-2016,Platinum,Active,03-Mar-2020,03-Mar-2021,2016061738532112954766
5,MARBOY ENTERPRISES,Single Proprietorship,14-Sep-2004,Platinum,Active,02-Mar-2020,14-Mar-2021,2004095133974320554
6,MIG AGGREGATES AND CONCRETE PRODUCTS,Single Proprietorship,21-May-2014,Platinum,Active,03-Mar-2020,25-Apr-2021,2014051025591323005366
7,AUCKLAND CONSTRUCTION AND SUPPLY,Single Proprietorship,07-Dec-2018,Platinum,Active,09-Mar-2020,09-Mar-2021,201812637291530360751
8,BAI-SEBAB TRADING AND SERVICES,Single Proprietorship,08-Jun-2010,Platinum,Active,02-Mar-2020,28-Mar-2021,201006339771770470520
9,"THE MIER GROUP, INC.",Corporation,08-Jun-2018,Platinum,Active,02-Mar-2020,02-Mar-2021,20180695587570040793
10,LAS MINAS DE ORO CONSTRUCTION,Single Proprietorship,14-Sep-2004,Platinum,Active,02-Mar-2020,06-Mar-2021,20040951311853531390
11,VISTA CONSTRUCTION,Single Proprietorship,03-Feb-2014,Platinum,Active,02-Mar-2020,18-Mar-2021,20140292788676196366
12,GTEK ENTERPRISE,Single Proprietorship,21-Sep-2006,Platinum,Active,10-Mar-2020,10-Mar-2021,20060911210911944868
13,SECUNA SOFTWARE TECHNOLOGIES INC.,Corporation,31-Jan-2019,Platinum,Active,02-Mar-2020,02-Mar-2021,20190157364910241755
14,REDSKIN ENTERPRISES,Single Proprietorship,11-Jul-2014,Platinum,Active,26-Feb-2020,26-Feb-2021,20140710778768045251
15,BUENAVIDA PHARMA,Single Proprietorship,07-Jan-2013,Platinum,Active,02-Mar-2020,02-Mar-2021,20130163878494553636
16,EAGLE BROADCASTING CORPORATION,Corporation,17-Nov-2011,Platinum,Active,05-Mar-2020,05-Mar-2021,20111145529585731592
17,SOFHIA'S RESTAURANT,Single Proprietorship,19-May-2014,Platinum,Active,05-Mar-2020,05-Mar-2021,2014051022651641974890
18,"GLOBAL EMPIRE INTERNATIONAL GROUP OF COMPANIES, INC.",Corporation,12-May-2016,Platinum,Active,29-Feb-2020,08-Mar-2021,2016051708821112773987
19,"CARBON DIGITAL, INC.",Corporation,26-Jul-2013,Platinum,Active,02-Mar-2020,02-Mar-2021,201307778632046943629
20,KPBL FARM AND NURSERY,Single Proprietorship,16-Mar-2017,Platinum,Active,02-Mar-2020,02-Mar-2021,2017031729701857123056
21,JM CONSTRUCTION SUPPLY AND GENERAL MERCHANDISE,Single Proprietorship,29-Jul-2019,Platinum,Active,04-Mar-2020,04-Mar-2021,20190730761953727222
22,BF BENOZA ENTERPRIZES,Single Proprietorship,03-Aug-2015,Platinum,Active,27-Feb-2020,27-Feb-2021,201508144094523093534
23,WILSAM REALTY DEVELOPMENT CORP. (HOTEL DONA VICENTA),Corporation,13-Dec-2011,Platinum,Active,02-Mar-2020,02-Mar-2021,201112460901943278939
24,EDEN CONSTRUCTION,Single Proprietorship,12-Jan-2004,Platinum,Active,02-Mar-2020,02-Mar-2021,20040122331605703359
25,A.C. TIBAN SURVEYING OFFICE,Single Proprietorship,15-Dec-2016,Platinum,Active,04-Mar-2020,05-Mar-2021,2016121897661429700357
26,H ROCK CONST. INC.,Corporation,14-Feb-2018,Platinum,Active,02-Mar-2020,13-Mar-2021,201802114764287560087
27,"HI-TONE SECURITY AGENCY, INC.",Corporation,22-Jun-2006,Platinum,Active,03-Mar-2020,03-Mar-2021,200606345481934633424
28,LA BRITANNIA BUILDERS & DEVELOPMENT (LBBDC) CORPORATION,Corporation,25-May-2015,Platinum,Active,09-Mar-2020,13-Mar-2021,201505136755403158165
29,AILEY INTEGRATED MULTIMEDIA SERVICES,Single Proprietorship,09-Jun-2015,Platinum,Active,02-Mar-2020,02-Mar-2021,2015061381401296563093
30,EXPAL SYSTEMS S.A.,Foreign Company Organization,17-Apr-2015,Platinum,Active,03-Mar-2020,05-Mar-2021,2015041333441190659338
31,RUF BROTHERS CONSTRUCTION CORPORATION,Corporation,21-Oct-2019,Platinum,Active,02-Mar-2020,02-Mar-2021,201910142901918589526
32,MARQUEZ SPORTS AND TAILORING,Single Proprietorship,08-Dec-2017,Platinum,Active,15-Jun-2020,15-Jun-2021,2017121243561559164942
33,VERTEX CONSTRUCTION AND SUPPLY,Single Proprietorship,09-May-2019,Platinum,Active,03-Mar-2020,03-Mar-2021,201905432041722646082
34,ASB TRADING & CONSTRUCTION,Single Proprietorship,14-Feb-2020,Platinum,Active,10-Mar-2020,10-Mar-2021,2020022106971518525899
35,CTY CONSTRUCTION,Single Proprietorship,13-Dec-2007,Platinum,Active,03-Mar-2020,03-Mar-2021,20071217973712491703
36,YUNIES CALIBRATION AND TRADING,Single Proprietorship,18-Feb-2011,Platinum,Active,02-Mar-2020,02-Mar-2021,201102387461227835365
37,PT SRI REJEKI ISMAN TBK,Foreign Company Organization,20-Feb-2020,Platinum,Active,05-Mar-2020,05-Mar-2021,2020022114461617809014
38,JQD CONSTRUCTION & GENERAL SERVICES,Single Proprietorship,28-Jun-2007,Platinum,Active,27-Feb-2020,27-Feb-2021,20070614753537520888
39,WEBS CONSTRUCTION SUPPLIES & SERVICES,Single Proprietorship,23-Jul-2018,Platinum,Active,02-Mar-2020,02-Mar-2021,20180788079442239748
40,"RENTATEL PHILIPPINES, INC.",Corporation,08-Feb-2019,Platinum,Active,05-Mar-2020,05-Mar-2021,201902561291346497693
41,NEW PRIMEMART AUTOMOTIVE SUPPLY,Single Proprietorship,18-Jul-2012,Platinum,Active,02-Mar-2020,02-Mar-2021,20120756138947048705
42,R.L.E ENTERPRISES,Single Proprietorship,18-May-2015,Platinum,Active,03-Mar-2020,03-Mar-2021,2015051357411612392677
43,SANDOY'S CONSTRUCTION AND SUPPLY,Single Proprietorship,02-Sep-2011,Platinum,Active,10-Mar-2020,10-Mar-2021,201109436881964826054
44,MC JEB TRADING,Single Proprietorship,14-Sep-2004,Platinum,Active,10-Mar-2020,11-Mar-2021,20040951421012571866
45,GEORVI'S ENTERPRISES,Single Proprietorship,17-Feb-2005,Platinum,Active,03-Mar-2020,03-Mar-2021,20050265501360763718
46,RKEY BUILDERS AND SUPPLY,Single Proprietorship,05-Feb-2020,Platinum,Active,04-Mar-2020,04-Mar-2021,202002209667204492514
47,G AND Z PHARMA,Single Proprietorship,31-Oct-2019,Platinum,Active,02-Mar-2020,02-Mar-2021,201910125361524290958
48,WOODLAND CONSTRUCTION AND SUPPLY INC,Corporation,16-Jan-2008,Platinum,Active,02-Mar-2020,02-Mar-2021,200801182601853788093
49,LAMECH ENTERPRISES,Single Proprietorship,19-Jan-2017,Platinum,Active,03-Mar-2020,03-Mar-2021,20170118509350866367
50,POWERLINK AUTO SUPPLY,Single Proprietorship,08-Jun-2014,Platinum,Active,02-Mar-2020,02-Mar-2021,201406104398968249112
51,SYNERGY INDUSTRIAL BUILDERS & DEV'T. CORP.,Corporation,09-Dec-2016,Platinum,Active,02-Mar-2020,02-Mar-2021,201612190143253977307
52,"OPTIMAL SYSTEMS DISTRIBUTION, INC",Corporation,21-Oct-2005,Platinum,Active,03-Mar-2020,08-Mar-2021,2005101260321678964521
53,DP FABRICATION AND MACHINERIES,Single Proprietorship,02-Oct-2014,Platinum,Active,02-Mar-2020,05-Mar-2021,2014101157562017347216
54,HARVESTER HARDWARE AND GENERAL MERCHANDISE,Single Proprietorship,15-Jun-2010,Platinum,Active,03-Mar-2020,03-Mar-2021,20100634083274865420
55,XYZ CONSTRUCTION & SUPPLIES,Single Proprietorship,06-Jul-2007,Platinum,Active,02-Mar-2020,02-Mar-2021,200707149621384883406
56,VRM COMPRADA,Single Proprietorship,21-Feb-2020,Platinum,Active,03-Mar-2020,03-Mar-2021,2020022115284678601
57,RB MORALES TECHLOGIC MARKETING SOLUTIONS,Single Proprietorship,08-Mar-2017,Platinum,Active,03-Mar-2020,03-Mar-2021,2017031746921463460463
58,NYTEL RESEARCH CENTER,Single Proprietorship,04-Dec-2014,Platinum,Active,06-Mar-2020,08-Mar-2021,20141212173596787773
