1,National Economic and Development Authority Region VI
2,DPWH REGIONAL OFFICE IV-B
6,Philippine Science High School - Central Mindanao Campus
8,BAC-SEC SARANGANI
9,Philippine Rice Research Institute
10,Philippine Science High School Southern Mindanao Campus
11,CITY GOVERNMENT OF CABUYAO
12,"Local Government Unit of Gamu, Isabela"
13,LGU TANGUB
14,"LGU-San Antonio,Quezon"
16,Philippine Science High School-Central Mindanao Campus
17,"MUNICIPALITY OF TIAONG, QUEZON"
19,"LOCAL GOVERNMENT OF MARIA AURORA, AURORA"
20,LGU MUNICIPALITY OF MACABEBE
21,MUNICIPALITY OF CARAGA
23,"MUNICIPALITY OF TIAONG, QUEZON"
24,LGU-TUKURAN
25,Development Academy of the Philippines
26,"LGU Sta. Barbara, Pangasinan"
27,"LGU-San Isidro, Bohol"
28,"Municipal Government of San Antonio, Zambales"
29,MUNICIPALITY OF SAN MARCELINO
30,Philippine Rice Research Institute
34,Philippine Science High School-Eastern Visayas Campus
35,Philippine Rice Research Institute
36,Department of Trade and Industry - Strategic Trade Management Office
37,Jose B. Lingad Memorial General Hospital
38,National Development Company
39,National Economic and Development Authority - Caraga
40,Philippine Science High School-Zamboanga Region Campus
41,Department of Energy
42,Department of Health
43,National Economic and Development Authority
44,Department of Health
45,Government Procurement Policy Board - Technical Support Office
49,PHILIPPINE SCIENCE HIGH SCHOOL - ILOCOS REGION CAMPUS
50,MUNICIPAL GOVERNMENT OF SUAL
51,Department of Information and Communications Technology - Mindanao Cluster 1
52,Municipality of Sibonga
53,DEPARTMENT OF LABOR AND EMPLOYMENT - 9
54,PHILIPPINE SCIENCE HIGH SCHOOL - MIMAROPA REGION CAMPUS (PSHS-MRC)
55,National Development Company
56,Department of Health
57,Department of Public Works and Highways
58,National Economic and Development Authority
59,Department of Trade and Industry - Main
95,Municipality of Guimba
96,"MUNICIPALITY OF SAN JOSE, TARLAC"
97,COMMISSION ON AUDIT - REGIONAL OFFICE NO. IX
98,"LOCAL GOVERNMENT OF SAN LUIS, AURORA"
99,LGULabanganZDS
100,DPWH Palawan 1st District Engineering Office
101,Fourmatic Solutions Trading
102,Philippine Coconut Authority Caraga
104,DPWH PALAWAN 1ST DEO
105,"LGU Sta. Barbara, Pangasinan"
106,MUNICIPAL GOVERNMENT OF SAN JOSE BATANGAS
107,Philippine Coconut Authority Region XIV-BARMM
108,Philippine Science High School- Caraga Region Campus
109,Department of Foreign Affairs
110,Department of Science and Technology Region 02
111,DOST-NCR
112,Philippine Economic Zone Authority - Mactan Economic Zone
113,Philippine Rice Research Institute
114,MUNICIPALITY OF HERMOSA
115,Department of Tourism
126,Department of Public Works and Highways - Upper Kalinga District Engineering Office
127,LGU-ANTEQUERA(LILIOSO M. NUNAG-HOPE)
128,Municipality of Alaminos Laguna
129,LGU-Guiuan
130,"PHILIPPINE VETERANS AFFAIRS OFFICE, DND (PVAO)"
131,LGU Hinatuan
132,Philippine Veterans Affairs Office
133,"Municipality of San Jose, Occidental Mindoro"
134,MUNICIPAL GOVERNMENT OF MARAMAG
135,Local Government Unit of Iriga City
136,LGU - Mariveles
137,"Local Government Unit of Rizal, Laguna"
138,LUNG CENTER OF THE PHILIPPINES
139,Agricultural Training Institute
140,Civil Service Commission Regional Office No. III
141,"LGU-BANGUINGUI, SULU"
142,Municipality of Balindong
144,MUNICIPALITY OF BINMALEY
145,"MUNICIPALITY OF MAGALANG, PAMPANGA"
146,CENTRAL LUZON STATE UNIVERSITY
147,"Local Government Unit of Cordon, Isabela"
148,"Local Government Unit - Santa Rosa, Nueva Ecija"
150,"Municipality of Camalig, Albay"
151,DPWH-Mindoro Occidental District Enginering Office
152,City Government of Taguig
153,Local Government Unit of Buug
154,LGU PAYAO
155,"LOCAL GOVERNMENT OF SAN LUIS, AURORA"
156,MUNICIPAL GOVERNMENT OF BALER
157,LGU SAN ISIDRO
158,"LGU-SAN ILDEFONSO,ILOCOS SUR"
159,LGU - Sergio Osme\\u00c3\\u00b1a
160,"LGU-SAN ILDEFONSO,ILOCOS SUR"
161,City Government of Trece Martires
162,"LGU-SAN ILDEFONSO,ILOCOS SUR"
163,Talavera General Hospital
164,"LGU- Aguinaldo, Ifugao"
165,LGU- Mangaldan
166,MUNICIPALITY OF BACO
167,LOCAL GOVERNMENT UNIT OF TAMBULIG
168,Municipal Government of Pagalungan
169,LGU DATU PAGLAS
170,"MUNICIPALITY OF SUYO, ILOCOS SUR"
171,"MUNICIPALITY OF SUYO, ILOCOS SUR"
172,Local Government Unit of the Island Garden City of Samal
173,MUNICIPALITY OF BACO
174,Provincial Government of La Union
175,"MUNICIPALITY OF CORELLA, BOHOL"
176,"Municipality of Bantayan, Cebu"
177,"LOCAL GOVERNMENT OF SAN LUIS, AURORA"
178,LGU Tagbilaran City
179,LGU Tagbilaran City
180,SRPPF Bureau of Corrections
181,LGU Guihulngan City
182,MUNICIPALITY OF BINMALEY
183,Commission on Audit RO7
184,LGU-Mandaue
185,LOCAL GOVERNMENT UNIT - KUMALARANG
186,Department of Public Works and Highways - Marinduque DEO
187,"LGU-NAAWAN, MISAMIS ORIENTAL"
188,Provincial Government of Apayao
189,DPWH Region IV-B
190,Novus Avenir Pharmaceuticals
191,CONCEPCION WATER DISTRICT
192,LGU Bagac
193,Philippine Science High School System Office of the Executive Director
194,"Xtreme Works, Inc."
195,"LGU-SAN ILDEFONSO,ILOCOS SUR"
196,LGU-Mabinay
197,LGU-Mabinay
198,Bureau of Fire Protection Caraga Region
199,Municipality of Alabat
200,Municipality of Alabat
201,Bureau of Quarantine
202,DPWH - Mindoro Oriental DEO
203,DPWH - Mindoro Oriental District Engineering Office
204,DPWH - Mindoro Oriental DEO
205,Capiz Provincial Government
206,DPWH Regional Office IX
207,Department of Public Works and Highways - Marinduque DEO
208,Local Government Unit of Irosin
209,"MUNICIPALITY OF MATAASNAKAHOY, BATANGAS"
210,CITY GOVERNMENT OF MATI
211,DPWH RIZAL 1 District Engineering Office
212,LGU Tagum City
213,Department of Public Works and Highways - Southern Mindoro DEO
214,DPWH - North Manila District Engineering Office
215,DPWH - Palawan 2nd District Engineering Office
216,Civil Aviation Authority of the Philippines - Area V
217,DPWH Regional Office III
218,BAYAWAN WATER DISTRICT
219,LGU-CARCAR CITY
220,Department of Public Works and Highways - Southern Mindoro DEO
221,City of Bogo
222,Department of Public Works and Highway - Romblon
223,Department of Public Works and Highway - Romblon
224,DPWH PALAWAN 3RD DEO
225,DPWH PALAWAN 3RD DEO
226,Philippinne Deposit Insurance Corporation
227,Philippine Crop Insurance Corporation
228,CAGAYAN VALLEY MEDICAL CENTER
229,Philippine Deposit Insurance Corporation
230,LGU - Pitogo
231,National Fire Training Institute
232,NATIONAL ECONOMIC AND DEVELOPMENT AUTHORITY-CAR
233,DPWH - North Manila District Engineering Office
234,Insurance Commission
235,MUNICIPALITY OF BADIAN
236,MUNICIPALITY OF TALAINGOD/LGU TALAINGOD
237,PROVINCIAL GOVERNMENT OF AURORA
238,LGU Perez Quezon
239,Rizal Provincial Government
240,LGU Perez Quezon
241,"Municipality of Carmen, Agusan del  Norte"
242,"MUNICIPALITY OF PINILI, ILOCOS NORTE"
243,DPWH Regional Office VIII
244,"City Government of Santa Rosa, Laguna"
