,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
0,AL CONSTRUCTION AND SUPPLY,Single Proprietorship,27-Nov-2018,Platinum,Active,2020-08-14,14-Aug-2021,201811655401324886865
1,SRF ENTERPRISES & GENERAL MERCHANDISE,Single Proprietorship,15-Aug-2008,Platinum,Active,2020-08-14,14-Aug-2021,20080822001948480454
2,WIZARD I.T. SYSTEMS CORPORATION,Corporation,09-Mar-2016,Platinum,Active,2020-08-14,27-Aug-2021,2016031645981709759690
3,RBM ENTERPRISES,Single Proprietorship,11-Aug-2005,Platinum,Active,2020-08-14,22-Aug-2021,2005088012631805584
4,"PILOTAGE TRADING AND CONSTRUCTION, INC",Corporation,11-Apr-2006,Platinum,Active,2020-08-14,14-Aug-2021,20060499391134558484
5,BXU COPY TRADING & ENT. CORP.,Corporation,24-Nov-2010,Platinum,Active,2020-08-14,14-Aug-2021,201011370061054964223
6,C & M METAL CRAFT & MACHINE SHOP,Single Proprietorship,28-Apr-2014,Platinum,Active,2020-08-14,14-Aug-2021,201404100682497937170
7,CHI-CES MARKETING,Single Proprietorship,29-May-2018,Platinum,Active,2020-08-14,14-Aug-2021,201805974681724421738
8,UYMATIAO TRADING CORPORATION,Corporation,23-May-2007,Platinum,Active,2020-08-14,14-Aug-2021,200705137981660771843
9,ABELARDE BUILDERS AND SUPPLY,Single Proprietorship,01-Jun-2017,Platinum,Active,2020-08-14,14-Aug-2021,2017061598011448736066
10,"KEPPEL PHILIPPINES MARINE, INC.",Corporation,11-Aug-2008,Platinum,Active,2020-08-14,31-Aug-2021,2008082193316689728
11,ORESONS CONSTRUCTION SERVICES,Single Proprietorship,10-Aug-2020,Platinum,Active,2020-08-14,14-Aug-2021,202008223399611831691
12,IRENE'S CAKES AND CATERING SERVICES,Single Proprietorship,21-May-2018,Platinum,Active,2020-08-14,23-Sep-2021,201805988831511879280
13,PCNET COMPUTER TRADING AND SERVICES,Single Proprietorship,18-Jun-2014,Platinum,Active,2020-08-14,14-Aug-2021,2014061054121979230558
14,JUNIEFER RICE AND CORN MILL,Single Proprietorship,24-Nov-2016,Platinum,Active,2020-08-14,14-Aug-2021,2016111922071597862531
15,SINEMATIKA INC,Corporation,07-Jul-2018,Platinum,Active,2020-08-14,14-Aug-2021,201807910352097571305
16,SYNAPSE TRADING,Single Proprietorship,10-Jul-2008,Platinum,Active,2020-08-14,23-Aug-2021,200807214681557582722
17,JG AVERILLA TRADING,Single Proprietorship,10-Apr-2019,Platinum,Active,2020-08-14,14-Aug-2021,201904467071775047010
18,JANDRA GLOBAL TRADERS CORP.,Corporation,14-Oct-2009,Platinum,Active,2020-08-14,14-Aug-2021,200910290461467066038
19,DOORKEEPER JANITORIAL SUPPLIES & SERVICES,Single Proprietorship,23-Apr-2008,Platinum,Active,2020-08-14,14-Aug-2021,200804201311202576516
20,MEDALTA MARKETING,Single Proprietorship,21-Jun-2018,Platinum,Active,2020-08-14,14-Aug-2021,201806937661716854549
21,PHILSILK ROAD TRADING INC.,Corporation,12-Jan-2018,Platinum,Active,2020-08-14,14-Aug-2021,201801120009389117081
22,ROGAN BUILDERS AND DEVELOPMENT CORP.,Corporation,27-Mar-2018,Platinum,Active,2020-08-14,29-Aug-2021,2018031073191891792717
23,YKKY GENERAL MERCHANDISE,Single Proprietorship,04-Dec-2007,Platinum,Active,2020-08-14,14-Aug-2021,200712178441526600393
24,ANCHORS GEOTECHNICAL CONSULTING SERVICE,Single Proprietorship,08-Nov-2018,Platinum,Active,2020-08-14,14-Aug-2021,201811690901458667697
25,DYNA ARMS SECURITY INC.,Corporation,10-Jul-2014,Platinum,Active,2020-08-14,18-Sep-2021,201407107642650774593
26,LET'S DO ENTERPRISE,Single Proprietorship,29-May-2018,Platinum,Active,2020-08-14,14-Aug-2021,201805976391694770353
27,FLUSSKREBS CONSTRUCTORS,Single Proprietorship,07-Feb-2017,Platinum,Active,2020-08-14,13-Sep-2021,201702181299882705627
28,SRBA GENERAL CONSTRUCTION,Single Proprietorship,17-Mar-2017,Platinum,Active,2020-08-14,30-Aug-2021,2017031726761488057190
29,5R CABLENET SERVICES INC.,Corporation,26-Jul-2018,Platinum,Active,2020-08-14,16-Aug-2021,20180787414306054888
30,BV THREE TWO FOUR PRINTING AND TRADING,Single Proprietorship,21-Apr-2016,Platinum,Active,2020-08-14,14-Aug-2021,2016041692191779545489
31,REM'S TOWER FOODS,Single Proprietorship,30-Jul-2014,Platinum,Active,2020-08-14,07-Sep-2021,2014071094061251390525
32,GESALEM ENTERPRISES,Single Proprietorship,24-Jun-2013,Platinum,Active,2020-08-14,02-Sep-2021,20130674863694791924
33,MIGG ENTERPRISES,Single Proprietorship,22-Aug-2019,Platinum,Active,2020-08-14,14-Aug-2021,20190826089964034897
34,JASMIN CONSTRUCTION,Single Proprietorship,26-Sep-2007,Platinum,Active,2020-08-14,16-Aug-2021,20070916641475588837
35,ZAMARALINK TRADING,Single Proprietorship,09-Aug-2018,Platinum,Active,2020-08-14,14-Aug-2021,201808850212033074562
36,"FORSIGHT DISTRIBUTION, INCORPORATED",Corporation,25-Jul-2012,Platinum,Active,2020-08-14,14-Aug-2021,201207564501688705615
37,RGB LTD PHILIPPINE BRANCH,Corporation,29-Nov-2013,Platinum,Active,2020-08-14,14-Aug-2021,201311884921295143657
38,MERLE BUILDERS AND CONSTRUCTION SUPPLY,Single Proprietorship,02-Aug-2019,Platinum,Active,2020-08-14,20-Aug-2021,201908299231619949967
39,PAPARAZZI WEARS TRADING,Single Proprietorship,18-Jun-2009,Platinum,Active,2020-08-14,14-Aug-2021,20090627231345874991
40,BUILDING CARE CORPORATION,Corporation,12-Mar-2008,Platinum,Active,2020-08-14,14-Aug-2021,200803194531483188551
41,KYOKUTO KAIHATSU ENTERPRISE,Single Proprietorship,13-Jan-2015,Platinum,Active,2020-08-14,15-Aug-2021,2015011238601945564988
42,"MANDAUE FOAM INDS., INC.",Corporation,18-Dec-2008,Platinum,Active,2020-08-14,14-Aug-2021,20081223931130521660
43,VERACITY TRADING,Single Proprietorship,30-Apr-2015,Platinum,Active,2020-08-14,14-Aug-2021,2015041345941814060981
44,"RIRAO CONSTRUCTION SUPPLIES, LUMBER, AGRI-SUPPLIES & GENERALMERCHANDISE",Single Proprietorship,05-Jun-2017,Platinum,Active,2020-08-14,14-Aug-2021,2017061590052047528421
45,SEVILLA TRADING AND GENERAL MERCHANDISE,Single Proprietorship,08-Mar-2016,Platinum,Active,2020-08-14,14-Aug-2021,2016031644461853893881
46,CRO-MAGNON CORPORATION,Corporation,21-Apr-2004,Platinum,Active,2020-08-14,14-Aug-2021,2004043816667989592
47,"GLOBAL RESOURCE COMMUNICATIONS, INC.",Corporation,14-Nov-2019,Platinum,Active,2020-08-14,14-Aug-2021,201911100641576779301
48,GPC GEO PHARMA CORPORATION,Corporation,20-Sep-2013,Platinum,Active,2020-08-14,14-Aug-2021,201309778921844045087
49,GOLDEN AID TRADING,Single Proprietorship,06-Jan-2014,Platinum,Active,2020-08-14,14-Aug-2021,201401902891831145329
50,I7 DATA SOLUTIONS INC.,Corporation,11-Aug-2014,Platinum,Active,2020-08-14,16-Aug-2021,201408110642373836645
51,SUZETTE SAMONTE SARI SARI STORE,Single Proprietorship,25-Apr-2017,Platinum,Active,2020-08-14,14-Aug-2021,201704165834450866410
52,KML BUILDERS AND CONSTRUCTION SUPPLY,Single Proprietorship,18-Feb-2018,Platinum,Active,2020-08-14,14-Aug-2021,201802114345451159313
53,"IDEASXMACHINA ADVERTISING, INC.",Corporation,05-Jun-2014,Platinum,Active,2020-08-14,02-Sep-2021,2014061039201812182456
54,VILLA ESTELA FINE INN,Single Proprietorship,12-May-2015,Platinum,Active,2020-08-14,14-Aug-2021,2015051355991032133224
55,FAR EAST ASSOCIATES,Partnership,22-Apr-2013,Platinum,Active,2020-08-14,14-Aug-2021,201304703681867636777
56,3R'S BUILDERS AND RESOURCES,Single Proprietorship,05-Jun-2012,Platinum,Active,2020-08-14,14-Aug-2021,201206539241421547218
