,Unnamed: 0,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
0,0,KONSULTA MEDICA AND DIAGNOSTIC CENTER CORPORATION,Corporation,26-Sep-2018,Platinum,Active,24-Jul-2020,24-Jul-2021,201809761731641372388
1,1,A-RAMP TRADING,Single Proprietorship,11-Apr-2012,Platinum,Active,20-Jul-2020,20-Jul-2021,201204514761700432899
2,2,KLER CONSTRUCTION & GENERAL MERCHANDISE,Single Proprietorship,23-Jan-2006,Platinum,Active,24-Jul-2020,24-Jul-2021,2006019228101320016
3,3,SARA CALTEX SERVICE STATION,Single Proprietorship,14-Apr-2014,Platinum,Active,17-Jul-2020,17-Jul-2021,20140499665786734421
4,4,JMC PEST MANAGEMENT,Single Proprietorship,01-Feb-2016,Platinum,Active,20-Jul-2020,20-Jul-2021,2016021604131140938331
5,5,RWT REALTY & DEVELOPMENT CORPORATION,Corporation,13-Jun-2011,Platinum,Active,12-Aug-2020,12-Aug-2021,201106416701074244709
6,6,VENSON'S MARKETING,Single Proprietorship,20-Jun-2005,Platinum,Active,20-Jul-2020,22-Jul-2021,2005067650391844194
7,7,CALATAGAN LIGHTHOUSE PORT AND TERMINAL SERVICES INC.,Corporation,07-Nov-2019,Platinum,Active,17-Jul-2020,17-Jul-2021,20191111436954936454
8,8,GRL LUBES AND TYRES,Single Proprietorship,07-Oct-2016,Platinum,Active,21-Jul-2020,27-Jul-2021,2016101879831783782320
9,9,SOUTH LEGACY REALTY INC,Corporation,07-Jun-2017,Platinum,Active,20-Jul-2020,20-Jul-2021,201706157980921865491
10,10,"DBK MEDICAL SUPPLIES,LTD.CO",Partnership,26-Jan-2017,Platinum,Active,23-Jul-2020,23-Jul-2021,201701183479122307508
11,11,MGBJ RISING CONSTRUCTION AND LAND DEVELOPER,Single Proprietorship,22-Jan-2004,Platinum,Active,23-Jul-2020,09-Aug-2021,2004012368693968660
12,12,MARADEKA CONSTRUCTION SERVICES,Single Proprietorship,13-Jul-2020,Platinum,Active,23-Jul-2020,23-Jul-2021,202007220852910492539
13,13,GDL TRADING,Single Proprietorship,05-Jan-2018,Platinum,Active,24-Jul-2020,24-Jul-2021,2018011214101002110314
14,14,MALABANAN'S NURSERY AND LANDSCAPING CONTRACTOR,Single Proprietorship,25-May-2005,Platinum,Active,20-Jul-2020,09-Aug-2021,2005057420618942929
