,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
0,"INFINITE QUALITY DESIGNS CENTER, INC.",Corporation,30-Apr-2001,Platinum,Active,25-Nov-2019,25-Nov-2020,2.020022413430084e+17
1,"CT LINK SYSTEMS, INC.",Corporation,30-Mar-2001,Platinum,Active,05-Nov-2019,06-Nov-2020,2.0200318521767492e+16
2,NATION PAPER PRODUCTS AND PRINTING CORPORATION,Corporation,14-Dec-2000,Platinum,Active,21-Jan-2020,16-Feb-2021,2.020062208866717e+16
3,TRES MARES FOOD HOUSE,Single Proprietorship,23-Apr-2019,Platinum,Active,,,
4,RMC GENERAL MERCHANDISE,Single Proprietorship,17-Jul-2018,Platinum,Active,,,
5,WIDEMASTER TRADING,Single Proprietorship,26-Jul-2016,Platinum,Active,,,
6,WIN-SONS PRINTING PRESS,Single Proprietorship,15-Sep-2015,Platinum,Active,,,
7,NEW CLINTON BUILDERS INC.,Corporation,19-Mar-2015,Platinum,Active,,,
8,PRISVILLE TRIANGLE RESORT,Single Proprietorship,29-Sep-2014,Platinum,Active,,,
9,MINDORENOS HOTEL AND RESTAURANT,Single Proprietorship,06-Aug-2012,Platinum,Active,,,
10,AU-RO GENERAL MERCHANDISING,Single Proprietorship,27-Sep-2004,Platinum,Active,,,
11,"NOAH PROCESS AND MATERIALS, INCORPORATED",Corporation,04-Apr-2002,Platinum,Active,11-Nov-2019,11-Nov-2020,202002618942623168
12,PATIENT CARE CORPORATION,Corporation,21-Mar-2002,Platinum,Active,12-Nov-2019,28-Nov-2020,202003591576465928
13,"MICRO-BIOLOGICAL LABORATORY, INC.",Corporation,26-Feb-2002,Platinum,Active,17-Jan-2020,13-Feb-2021,202002495983591388
14,"SMART COMMUNICATIONS, INC.",Corporation,11-Feb-2002,Platinum,Active,13-Nov-2019,13-Nov-2020,202003429801951750
15,CWC INTERNATIONAL CORP.,Corporation,11-Feb-2002,Platinum,Active,16-Oct-2019,16-Oct-2020,202002427439088521
16,SERVO AEROTRADE SERVICES INC.,Corporation,28-Jan-2002,Platinum,Active,28-Jan-2020,28-Jan-2021,2020063851181171181
17,"INDUSTRIAL CONTROLS SYSTEMS, INC.",Corporation,08-Jan-2002,Platinum,Active,16-Aug-2019,16-Aug-2020,2020023141972066108
18,"JANTRADE INDUSTRIAL SALES, INC.",Corporation,29-Nov-2001,Platinum,Active,29-Oct-2019,13-Nov-2020,202002274756506155
19,ANAKI SYSTEMS SALES,Single Proprietorship,05-Oct-2001,Platinum,Active,16-Oct-2019,16-Oct-2020,202002178900492570
20,MOLAVE TRADING INCORPORATED,Corporation,02-Oct-2001,Platinum,Active,20-Nov-2019,23-Nov-2020,202006173547086668
21,MOUNT SINAI SCIENTIFIC AND PHARMACEUTICAL SUPPLY,Single Proprietorship,30-Aug-2001,Platinum,Active,29-Nov-2019,16-Jan-2021,202006145302053438
22,"SQUIRES BINGHAM INTERNATIONAL, INC.",Corporation,29-Aug-2001,Platinum,Active,23-Sep-2019,28-Sep-2020,2020071441414846720
23,"BLUE SKY TRADING CO., INC.",Corporation,10-Aug-2001,Platinum,Active,02-Oct-2019,10-Oct-2020,2020021341757291730
24,"PINNACLE TECHNOLOGIES, INC.",Corporation,12-Jul-2001,Platinum,Active,12-Dec-2019,19-Dec-2020,202002961915042991
25,"MICRO-D INTERNATIONAL, INC.",Corporation,05-Jul-2001,Platinum,Active,02-Oct-2019,20-Oct-2020,202008891422866364
26,ASPEN MULTI-SYSTEM CORPORATION,Corporation,29-Jun-2001,Platinum,Active,26-Nov-2019,12-Dec-2020,20200287894035223
27,"INSTRUMIX SUPPLIER, INC.",Corporation,29-Jun-2001,Platinum,Active,12-Dec-2019,18-Dec-2020,2020028648806138
28,READY FORM INC.,Corporation,08-Jun-2001,Platinum,Active,20-Sep-2019,03-Oct-2020,202002701423891850
29,MEDICAL CENTER TRADING CORPORATION,Corporation,01-Jun-2001,Platinum,Active,28-Oct-2019,01-Dec-2020,20200460344087581
30,"INTEGRATED ENERGY SYSTEMS & RESOURCES, INC.",Corporation,18-May-2001,Platinum,Active,03-Sep-2019,03-Sep-2020,202002441231984983
31,STATE ALLIANCE ENTERPRISES INC.,Corporation,20-Jan-2003,Platinum,Active,17-Dec-2019,08-Jan-2021,20200613511472922154
32,"MAINTENANCE OF AIRCONDITIONING & REFRIGERATION (MARCO) CO.,INC.",Corporation,25-Nov-2002,Platinum,Active,30-Oct-2019,03-Nov-2020,20200212411746463925
33,TNC EVERLIGHT PHILS.,Corporation,04-Nov-2002,Platinum,Active,15-Jul-2019,27-Aug-2020,20200811961977034806
34,R.D. SADSAD CONSTRUCTION AND TRADING,Single Proprietorship,23-Oct-2002,Platinum,Active,20-Jan-2020,22-Jan-2021,2020031160523160365
35,R.M. VITUG CONSTRUCTION,Single Proprietorship,23-Oct-2002,Platinum,Active,20-Jan-2020,22-Jan-2021,2020031158531058880
36,ZONIUQ ENTERPRISES,Single Proprietorship,04-Oct-2002,Platinum,Active,27-Aug-2019,27-Aug-2020,2020081105864974486
37,"PATRILA BUILDERS, INC.",Corporation,02-Oct-2002,Platinum,Active,24-Oct-2019,16-Nov-2020,2020061084816068727
38,JUNCAN ENTERPRISES,Single Proprietorship,24-Sep-2002,Platinum,Active,03-Oct-2019,03-Oct-2020,20200210761133973389
39,GOLDEN DEER ENTERPRISES,Single Proprietorship,12-Sep-2002,Platinum,Active,07-Nov-2019,07-Nov-2020,2020021021705078685
40,MITSUI TRADING PHILS. LTD. CO.,Partnership,31-Aug-2002,Platinum,Active,05-Dec-2019,19-Dec-2020,2020069921658115248
41,F. GURREA CONSTRUCTION INC.,Corporation,26-Aug-2002,Platinum,Active,28-Jan-2020,28-Jan-2021,2020029781713811090
42,JOEBZ COMPUTER SALES AND SERVICES,Single Proprietorship,02-Aug-2002,Platinum,Active,22-Aug-2019,04-Sep-2020,202007924572520427
43,"SVI TECHNOLOGIES, INC.",Corporation,26-Jul-2002,Platinum,Active,15-Jan-2020,15-Jan-2021,2020079071826835524
44,"ST. PATRICK'S MEDICAL SYSTEMS, INC.",Corporation,16-Jul-2002,Platinum,Active,25-Oct-2019,29-Oct-2020,202004884243286674
45,TKC HEAVY INDUSTRIES CORPORATION,Corporation,07-Jun-2002,Platinum,Active,27-Sep-2019,09-Oct-2020,2020068321602418679
46,LSERV CORPORATION FORMERLY: LBP SERVICE CORPORATION,Corporation,31-May-2002,Platinum,Active,23-Dec-2019,24-Dec-2020,202006819297749837
47,ACHIEVERS SECURITY AGENCY PHILS.,Single Proprietorship,30-May-2002,Platinum,Active,12-Sep-2019,23-Oct-2020,202007807328648438
48,NEMAN ENTERPRISES,Single Proprietorship,17-May-2002,Platinum,Active,08-Oct-2019,27-Oct-2020,2020037691199788494
49,IMAX TECHNOLOGIES INC.,Corporation,07-May-2002,Platinum,Active,28-Jan-2020,28-Jan-2021,202007726531235900
50,PHILIPPINE BLUE CROSS BIOTECH CORPORATION,Corporation,24-Apr-2002,Platinum,Active,20-Aug-2019,10-Oct-2020,2020026831088456036
51,"ASHANTI SALES, INC.",Corporation,05-Nov-2003,Platinum,Active,16-Dec-2019,19-Dec-2020,2020032000150100195
52,"D' TRIUMPH CLEANERS AND ALLIED SERVICES, INC.",Corporation,29-Oct-2003,Platinum,Active,28-Jan-2020,10-Feb-2021,202002197226969062
53,"FAR EAST INDUSTRIAL SUPPLY & CO., INC.",Corporation,23-Oct-2003,Platinum,Active,27-Sep-2019,15-Oct-2020,20200219481735927584
54,"P.I. FARM PRODUCTS, INC.",Corporation,23-Oct-2003,Platinum,Active,17-Sep-2019,17-Sep-2020,20200219461905519392
55,"LIFELINE DIAGNOSTICS SUPPLIES, INC.",Corporation,01-Oct-2003,Platinum,Active,13-Dec-2019,23-Jan-2021,20200718871832639594
56,"GOOD FORTUNE INTERNATIONAL, INC.",Corporation,29-Sep-2003,Platinum,Active,28-Jan-2020,28-Jan-2021,202002186252117000
57,GOLDEN ROAD RUNNER INTERNATIONAL CORP.,Corporation,27-Sep-2003,Platinum,Active,28-Jan-2020,29-Jan-2021,2020021860457756689
58,ECE MARKETING,Single Proprietorship,16-Sep-2003,Platinum,Active,07-Oct-2019,13-Nov-2020,2020021841213925862
